chartName,category,img,avail,description
Расходящиеся столбцы,deviation,bar-diverging.svg,TRUE,"Простой столбчатый график для положительных и отрицательных значений относительно общей точки отсчёта."
Расходящиеся составные столбцы,deviation,bar-diverging-stacked.svg,TRUE,"Подходит для ответов по шкале отношения: не согласен, нейтрален, согласен."
Спайн-график,deviation,spine.svg,TRUE,"Разделяет одно значение на две противопоставленные части, например мужчины и женщины."
Баланс с заливкой,deviation,line-surplur-defecit-fill.svg,FALSE,"Закрашенная область показывает баланс относительно базовой линии или разницу между двумя рядами."
Диаграмма рассеяния,correlation,scatterplot.svg,TRUE,"Стандартная форма для связи двух переменных, каждой из которых соответствует своя ось."
Линия и столбцы,correlation,line-column.svg,TRUE,"Показывает связь абсолютной величины в столбцах и относительного показателя на линии."
Связанная диаграмма рассеяния,correlation,scatterplot-connected.svg,TRUE,"Показывает, как связь двух переменных менялась во времени."
Пузырьковая диаграмма,correlation,bubble.svg,TRUE,"Расширяет диаграмму рассеяния: размер круга кодирует третью переменную."
Двумерная тепловая карта,correlation,XY-heatmap.svg,TRUE,"Хорошо показывает общий рисунок связи двух категориальных переменных, но хуже передаёт точные различия."
Линейный график,change-time,line.svg,TRUE,"Стандартная форма временного ряда. При нерегулярных наблюдениях отмечайте отдельные точки."
Столбцы по времени,change-time,column-timeline.svg,TRUE,"Хорошо показывают изменение во времени, особенно для одного ряда данных."
Столбцы и линия по времени,change-time,column-line-timeline.svg,TRUE,"Показывает изменение во времени абсолютной величины и относительного показателя."
Биржевые свечи,change-time,stock-price.svg,FALSE,"Показывают цену открытия и закрытия, а также минимум и максимум каждого периода."
График наклона,change-time,slope-timeline.svg,TRUE,"Сравнивает два или три момента времени, если такое упрощение не скрывает важные изменения между ними."
Диаграмма с областями,change-time,area.svg,TRUE,"Хорошо показывает изменение итога. Изменение внутренних компонентов сравнивать труднее."
Веерная диаграмма,change-time,fan.svg,FALSE,"Показывает неопределённость прогноза, которая обычно растёт по мере удаления от текущего момента."
Связанная диаграмма рассеяния во времени,change-time,scatterplot-line-timeline.svg,FALSE,"Показывает совместное изменение двух переменных, когда траектория имеет понятное направление."
Календарная тепловая карта,change-time,calendar-heatmap.svg,TRUE,"Выявляет дневные, недельные и сезонные циклы, но жертвует точностью отдельных значений."
Временная шкала Пристли,change-time,priestley-timeline.svg,TRUE,"Подходит, когда дата начала и продолжительность событий составляют главную часть истории."
Круги на временной шкале,change-time,circle-timeline.svg,TRUE,"Показывает отдельные события разного масштаба в нескольких категориях."
Сейсмограмма,change-time,seismogram.svg,FALSE,"Альтернатива кругам на временной шкале для рядов с очень большим разбросом значений."
Упорядоченные горизонтальные столбцы,ranking,bar-ordered.svg,TRUE,"Сортировка столбцов делает порядок значений и различия между ними сразу заметными."
Упорядоченные вертикальные столбцы,ranking,column-ordered.svg,TRUE,"Показывают порядок значений, когда короткие подписи помещаются по горизонтальной оси."
Упорядоченные пропорциональные символы,ranking,symbol-proportional-ordered.svg,FALSE,"Полезны при большом разбросе значений, если точное сравнение не является главной задачей."
Точки на полосе,ranking,dot-plot-strip.svg,FALSE,"Компактно показывают позиции объектов сразу в нескольких категориях."
График изменения мест,ranking,slope-ranking.svg,TRUE,"Показывает, как позиции изменились во времени или различаются между группами."
Горизонтальный лоллипоп,ranking,lollipop-h.svg,TRUE,"Подчёркивает отдельные значения и одновременно хорошо передаёт порядок."
Вертикальный лоллипоп,ranking,lollipop-v.svg,TRUE,"Подчёркивает отдельные значения и одновременно хорошо передаёт порядок."
Бамп-чарт,ranking,bump.svg,TRUE,"Показывает изменение мест нескольких объектов во времени."
